autoroute;sens;nom_aire;type;pk_texte;pk_km
A1;Sens Paris - Lille;La Courneuve-Est;Service;Km 5;5
A1;Sens Paris - Lille;Villeron;Repos;Km 24;24
A1;Sens Paris - Lille;Vémars-Est;Service;Km 26;26
A1;Sens Paris - Lille;Survilliers-Est;Repos;Km 30;30
A1;Sens Paris - Lille;Chamant;Repos;Km 44;44
A1;Sens Paris - Lille;Roberval;Repos;Km 53;53
A1;Sens Paris - Lille;Chevrières;Repos;Km 60;60
A1;Sens Paris - Lille;Remy;Repos;Km 68;68
A1;Sens Paris - Lille;Ressons-Est;Service;Km 80;80
A1;Sens Paris - Lille;Tilloloy-Est;Repos;Km 92;92
A1;Sens Paris - Lille;Goyencourt-Est;Repos;Km 104;104
A1;Sens Paris - Lille;Fonches;Repos;Km 110;110
A1;Sens Paris - Lille;Cœur des Hauts-de-France-Est;Service;Km 122;122
A1;Sens Paris - Lille;Feuillères;Repos;Km 129;129
A1;Sens Paris - Lille;Beaulencourt;Repos;Km 144;144
A1;Sens Paris - Lille;Croisilles;Repos;Km 157;157
A1;Sens Paris - Lille;Wancourt-Est;Service;Km 165;165
A1;Sens Paris - Lille;Fresnes-lès-Montauban;Repos;Km 173;173
A1;Sens Paris - Lille;Phalempin-Est;Service;Km 200;200
A1;Sens Lille - Paris;Phalempin-Ouest;Service;Km 200;200
A1;Sens Lille - Paris;Fresnes-lès-Montauban;Repos;Km 173;173
A1;Sens Lille - Paris;Wancourt-Ouest;Repos;Km 165;165
A1;Sens Lille - Paris;Saint-Léger;Service;Km 155;155
A1;Sens Lille - Paris;Maurepas;Repos;Km 131;131
A1;Sens Lille - Paris;Cœur des Hauts-de-France-Ouest;Service;Km 122;122
A1;Sens Lille - Paris;Hattencourt;Repos;Km 110;110
A1;Sens Lille - Paris;Goyencourt-Ouest;Repos;Km 104;104
A1;Sens Lille - Paris;Tilloloy-Ouest;Repos;Km 92;92
A1;Sens Lille - Paris;Ressons-Ouest;Service;Km 80;80
A1;Sens Lille - Paris;Bois d'Arsy;Repos;Km 68;68
A1;Sens Lille - Paris;Longueil-Sainte-Marie;Repos;Km 61;61
A1;Sens Lille - Paris;Roberval-Ouest;Repos;Km 54;54
A1;Sens Lille - Paris;Chamant;Repos;Km 44;44
A1;Sens Lille - Paris;Survilliers-Ouest;Repos;Km 30;30
A1;Sens Lille - Paris;Vémars-Ouest;Service;Km 26;26
A1;Sens Lille - Paris;Chennevières;Repos;Km 23;23
A1;Sens Lille - Paris;La Courneuve-Ouest;Service;Km 5;5
